plateforme,nom_acheteur,annee,nb_marches,date
marches.maximilien.fr,AccorHotels Arena,2018,7,2020-08-31T18:15:51
marches.maximilien.fr,AccorHotels Arena,2019,28,2020-08-31T18:15:52
marches.maximilien.fr,AccorHotels Arena,2020,0,2020-08-31T18:15:53
marches.maximilien.fr,Agence des espaces verts de la région d'Ile-de-France,2018,1,2020-08-31T18:15:54
marches.maximilien.fr,Agence des espaces verts de la région d'Ile-de-France,2019,44,2020-08-31T18:15:55
marches.maximilien.fr,Agence des espaces verts de la région d'Ile-de-France,2020,0,2020-08-31T18:15:58
marches.maximilien.fr,Agence France Locale - Société Territoriale,2018,0,2020-08-31T18:15:59
marches.maximilien.fr,Agence France Locale - Société Territoriale,2019,0,2020-08-31T18:16:00
marches.maximilien.fr,Agence France Locale - Société Territoriale,2020,0,2020-08-31T18:16:01
marches.maximilien.fr,APIS DEVELOPPEMENT PEPINIERE D'ENTREPRISES,2018,0,2020-08-31T18:16:02
marches.maximilien.fr,APIS DEVELOPPEMENT PEPINIERE D'ENTREPRISES,2019,0,2020-08-31T18:16:03
marches.maximilien.fr,APIS DEVELOPPEMENT PEPINIERE D'ENTREPRISES,2020,0,2020-08-31T18:16:04
marches.maximilien.fr,Association Adelie - Calypso,2018,0,2020-08-31T18:16:05
marches.maximilien.fr,Association Adelie - Calypso,2019,0,2020-08-31T18:16:05
marches.maximilien.fr,Association Adelie - Calypso,2020,0,2020-08-31T18:16:06
marches.maximilien.fr,Association Communauté CapDémat,2018,0,2020-08-31T18:16:07
marches.maximilien.fr,Association Communauté CapDémat,2019,0,2020-08-31T18:16:08
marches.maximilien.fr,Association Communauté CapDémat,2020,0,2020-08-31T18:16:09
marches.maximilien.fr,Association de Gestion du Fonds paritaire National,2018,0,2020-08-31T18:16:10
marches.maximilien.fr,Association de Gestion du Fonds paritaire National,2019,0,2020-08-31T18:16:11
marches.maximilien.fr,Association de Gestion du Fonds paritaire National,2020,0,2020-08-31T18:16:12
marches.maximilien.fr,Association TRACES,2018,0,2020-08-31T18:16:13
marches.maximilien.fr,Association TRACES,2019,0,2020-08-31T18:16:13
marches.maximilien.fr,Association TRACES,2020,0,2020-08-31T18:16:14
marches.maximilien.fr,ATELIERS MEDICIS,2018,0,2020-08-31T18:16:15
marches.maximilien.fr,ATELIERS MEDICIS,2019,0,2020-08-31T18:16:16
marches.maximilien.fr,ATELIERS MEDICIS,2020,0,2020-08-31T18:16:17
marches.maximilien.fr,Autres collectivités de plateformes partenaires,2018,0,2020-08-31T18:16:18
marches.maximilien.fr,Autres collectivités de plateformes partenaires,2019,0,2020-08-31T18:16:19
marches.maximilien.fr,Autres collectivités de plateformes partenaires,2020,0,2020-08-31T18:16:20
marches.maximilien.fr,Avenue-Web Systèmes,2018,0,2020-08-31T18:16:21
marches.maximilien.fr,Avenue-Web Systèmes,2019,0,2020-08-31T18:16:22
marches.maximilien.fr,Avenue-Web Systèmes,2020,0,2020-08-31T18:16:23
marches.maximilien.fr,Baillet-en-France,2018,0,2020-08-31T18:16:24
marches.maximilien.fr,Baillet-en-France,2019,1,2020-08-31T18:16:25
marches.maximilien.fr,Baillet-en-France,2020,0,2020-08-31T18:16:26
marches.maximilien.fr,BOAMP,2018,0,2020-08-31T18:16:27
marches.maximilien.fr,BOAMP,2019,0,2020-08-31T18:16:28
marches.maximilien.fr,BOAMP,2020,0,2020-08-31T18:16:29
marches.maximilien.fr,Caisse des écoles de Beynes,2018,0,2020-08-31T18:16:30
marches.maximilien.fr,Caisse des écoles de Beynes,2019,0,2020-08-31T18:16:30
marches.maximilien.fr,Caisse des écoles de Beynes,2020,0,2020-08-31T18:16:31
marches.maximilien.fr,Caisse des écoles de Châtenay-Malabry,2018,0,2020-08-31T18:16:32
marches.maximilien.fr,Caisse des écoles de Châtenay-Malabry,2019,4,2020-08-31T18:16:33
marches.maximilien.fr,Caisse des écoles de Châtenay-Malabry,2020,0,2020-08-31T18:16:34
marches.maximilien.fr,Caisse des écoles de Suresnes,2018,5,2020-08-31T18:16:35
marches.maximilien.fr,Caisse des écoles de Suresnes,2019,15,2020-08-31T18:16:36
marches.maximilien.fr,Caisse des écoles de Suresnes,2020,0,2020-08-31T18:16:37
marches.maximilien.fr,Caisse des Ecoles de Viarmes,2018,0,2020-08-31T18:16:38
marches.maximilien.fr,Caisse des Ecoles de Viarmes,2019,0,2020-08-31T18:16:39
marches.maximilien.fr,Caisse des Ecoles de Viarmes,2020,0,2020-08-31T18:16:40
marches.maximilien.fr,Caisse des écoles de Vincennes,2018,0,2020-08-31T18:16:41
marches.maximilien.fr,Caisse des écoles de Vincennes,2019,0,2020-08-31T18:16:42
marches.maximilien.fr,Caisse des écoles de Vincennes,2020,0,2020-08-31T18:16:43
marches.maximilien.fr,Cancéropôle Île-de-France,2018,0,2020-08-31T18:16:44
marches.maximilien.fr,Cancéropôle Île-de-France,2019,0,2020-08-31T18:16:45
marches.maximilien.fr,Cancéropôle Île-de-France,2020,0,2020-08-31T18:16:46
marches.maximilien.fr,CCAS d'Alfortville,2018,1,2020-08-31T18:16:47
marches.maximilien.fr,CCAS d'Alfortville,2019,0,2020-08-31T18:16:48
marches.maximilien.fr,CCAS d'Alfortville,2020,0,2020-08-31T18:16:49
marches.maximilien.fr,CCAS de Bourg la Reine,2018,0,2020-08-31T18:16:49
marches.maximilien.fr,CCAS de Bourg la Reine,2019,0,2020-08-31T18:16:50
marches.maximilien.fr,CCAS de Bourg la Reine,2020,0,2020-08-31T18:16:51
marches.maximilien.fr,CCAS de Châtenay-Malabry,2018,0,2020-08-31T18:16:52
marches.maximilien.fr,CCAS de Châtenay-Malabry,2019,4,2020-08-31T18:16:53
marches.maximilien.fr,CCAS de Châtenay-Malabry,2020,0,2020-08-31T18:16:54
marches.maximilien.fr,CCAS de la Commune de Coignières,2018,0,2020-08-31T18:16:55
marches.maximilien.fr,CCAS de la Commune de Coignières,2019,0,2020-08-31T18:16:56
marches.maximilien.fr,CCAS de la Commune de Coignières,2020,0,2020-08-31T18:16:56
marches.maximilien.fr,CCAS de la Garenne Colombes,2018,0,2020-08-31T18:16:57
marches.maximilien.fr,CCAS de la Garenne Colombes,2019,3,2020-08-31T18:16:58
marches.maximilien.fr,CCAS de la Garenne Colombes,2020,0,2020-08-31T18:16:59
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2018,0,2020-08-31T18:17:00
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2019,5,2020-08-31T18:17:01
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2020,0,2020-08-31T18:17:02
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2018,0,2020-08-31T18:17:03
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2019,0,2020-08-31T18:17:04
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2020,0,2020-08-31T18:17:04
marches.maximilien.fr,CCAS de la Ville De Chaville,2018,0,2020-08-31T18:17:05
marches.maximilien.fr,CCAS de la Ville De Chaville,2019,0,2020-08-31T18:17:06
marches.maximilien.fr,CCAS de la Ville De Chaville,2020,0,2020-08-31T18:17:07
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2018,0,2020-08-31T18:17:08
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2019,0,2020-08-31T18:17:09
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2020,1,2020-08-31T18:17:10
marches.maximilien.fr,CCAS de Meudon,2018,0,2020-08-31T18:17:11
marches.maximilien.fr,CCAS de Meudon,2019,2,2020-08-31T18:17:11
marches.maximilien.fr,CCAS de Meudon,2020,0,2020-08-31T18:17:12
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2018,0,2020-08-31T18:17:13
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2019,0,2020-08-31T18:17:14
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2020,0,2020-08-31T18:17:15
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2018,0,2020-08-31T18:17:16
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2019,0,2020-08-31T18:17:17
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2020,0,2020-08-31T18:17:18
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2018,0,2020-08-31T18:17:19
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2019,0,2020-08-31T18:17:20
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2020,0,2020-08-31T18:17:21
marches.maximilien.fr,CCAS de Suresnes,2018,0,2020-08-31T18:17:22
marches.maximilien.fr,CCAS de Suresnes,2019,0,2020-08-31T18:17:23
